transaction_id,account_id,amount,currency,transaction_type,processed,timestamp,status,description
46,1016,60.00,USD,withdrawal,p,2025-12-05T11:05:00,failed,ATM timeout
47,1017,1500.00,USD,transfer,y,2025-12-05T11:40:00,completed,Interbank transfer
48,1018,22.22,USD,withdrawal,,2025-12-05T12:15:00,pending,Micro purchase
49,1019,700.00,USD,deposit,p,2025-12-05T12:50:00,completed,Bonus
50,1020,9.99,USD,withdrawal,y,2025-12-05T13:25:00,completed,App purchase
51,1001,55.00,USD,withdrawal,y,2025-12-06T08:10:00,completed,Groceries
52,1002,1200.00,USD,deposit,,2025-12-06T08:45:00,completed,Salary
53,1003,33.33,USD,transfer,p,2025-12-06T09:15:00,completed,Gift
54,1004,10.00,USD,withdrawal,y,2025-12-06T09:50:00,completed,Charge
55,1005,444.44,USD,deposit,,2025-12-06T10:25:00,completed,Sale
56,1006,27.50,USD,withdrawal,p,2025-12-06T11:00:00,failed,Declined
57,1007,100.00,USD,transfer,y,2025-12-06T11:35:00,completed,Transfer
58,1008,66.66,USD,withdrawal,,2025-12-06T12:10:00,pending,Shopping
59,1009,2500.00,USD,deposit,p,2025-12-06T12:45:00,completed,Sale proceeds
60,1010,14.20,USD,withdrawal,y,2025-12-06T13:20:00,completed,Taxi
61,1011,310.00,USD,deposit,y,2025-12-07T08:10:00,completed,Salary
62,1012,75.00,USD,withdrawal,,2025-12-07T08:50:00,pending,Coffee
63,1013,95.00,USD,transfer,p,2025-12-07T09:25:00,completed,Pay friend
64,1014,6.66,USD,withdrawal,y,2025-12-07T10:00:00,completed,Micro fee
65,1015,820.00,USD,deposit,,2025-12-07T10:40:00,completed,Invoice
66,1016,130.00,USD,withdrawal,p,2025-12-07T11:15:00,failed,Auth error
67,1017,47.00,USD,transfer,y,2025-12-07T11:50:00,completed,Move funds
68,1018,29.99,USD,withdrawal,,2025-12-07T12:25:00,pending,Online
69,1019,10000.00,USD,deposit,p,2025-12-07T13:00:00,completed,Investment
70,1020,2.50,USD,withdrawal,y,2025-12-07T13:35:00,completed,Fee
71,1001,75.00,USD,deposit,y,2025-12-08T08:05:00,completed,Gift
72,1002,18.00,USD,withdrawal,,2025-12-08T08:40:00,pending,Snack
73,1003,230.00,USD,transfer,p,2025-12-08T09:15:00,completed,Split
74,1004,15.15,USD,withdrawal,y,2025-12-08T09:55:00,completed,Coffee
75,1005,600.00,USD,deposit,,2025-12-08T10:30:00,completed,Project
76,1006,40.00,USD,withdrawal,p,2025-12-08T11:05:00,failed,Timeout
77,1007,300.00,USD,transfer,y,2025-12-08T11:40:00,completed,Loan
78,1008,55.55,USD,withdrawal,,2025-12-08T12:15:00,pending,Store
79,1009,150.00,USD,deposit,p,2025-12-08T12:50:00,completed,Refund
80,1010,8.75,USD,withdrawal,y,2025-12-08T13:25:00,completed,Candy
81,1011,410.00,USD,deposit,y,2025-12-09T08:10:00,completed,Salary
82,1012,20.00,USD,withdrawal,,2025-12-09T08:45:00,pending,Top-up
83,1013,99.00,USD,transfer,p,2025-12-09T09:20:00,completed,Pay
84,1014,11.11,USD,withdrawal,y,2025-12-09T09:55:00,completed,Service
85,1015,270.00,USD,deposit,,2025-12-09T10:30:00,completed,Sale
86,1016,35.00,USD,withdrawal,p,2025-12-09T11:05:00,failed,Declined
87,1017,1250.00,USD,transfer,y,2025-12-09T11:40:00,completed,Transfer out
88,1018,33.33,USD,withdrawal,,2025-12-09T12:15:00,pending,Purchase
89,1019,450.00,USD,deposit,p,2025-12-09T12:50:00,completed,Dividend
90,1020,6.00,USD,withdrawal,y,2025-12-09T13:25:00,completed,Fee
91,1001,210.00,USD,transfer,y,2025-12-10T08:05:00,completed,Transfer
92,1002,18.25,USD,withdrawal,,2025-12-10T08:40:00,pending,Snack
93,1003,77.00,USD,deposit,p,2025-12-10T09:15:00,completed,Sale
94,1004,14.99,USD,withdrawal,y,2025-12-10T09:55:00,completed,Charge
95,1005,99.99,USD,transfer,,2025-12-10T10:30:00,pending,Pay merchant
96,1006,48.00,USD,withdrawal,p,2025-12-10T11:05:00,failed,Error
97,1007,500.00,USD,deposit,y,2025-12-10T11:40:00,completed,Bonus
98,1008,24.00,USD,withdrawal,,2025-12-10T12:15:00,pending,Taxi
99,1009,1200.00,USD,transfer,p,2025-12-10T12:50:00,completed,Investment
100,1010,3.50,USD,withdrawal,y,2025-12-10T13:25:00,completed,Snack
